"Variable","Variable Number","Topic","Topic Number","Subtopic","Subtopic Number","Survey Years","Availability","Description","Table Name","Type","Edit Flag Variable","Imputation Strategy","Response Codes","Question Text","Instrument Variable Name(s)","Disclosure","Conditions in Universe","User Notes"
"WATDRINK","2","Healthy Homes","13","Water Quality","4","2015 National, 2015 Metro","PUF","Source of drinking water","HOUSEHOLD","Character","JWATDRINK","Coming soon","1: Unfiltered tap water||2: Filtered tap water||3: Commercial bottled water||4: Other||M or -9: Not reported||N or -6: Not applicable","Where do you get your water for drinking?","WATERD","None","INTSTATUS = '1' and WATSAFE = '2' and SPLITSAMP = '2'","This item is part of the Group 2 Topical modules; use SP2WEIGHT to create weighted estimates.",
"WATTEMP","3","Healthy Homes","13","Water Quality","4","2015 National, 2015 Metro","PUF","Type of accessibility and monitoring of hot water heater","HOUSEHOLD","Character","JWATTEMP","Coming soon","1: Yes||2: No||3: No access to water heater||M or -9: Not reported||N or -6: Not applicable","See User Notes","H20MF","None","INTSTATUS = '1' and SPLITSAMP = '2'","WATTEMP is determined using H20MF (Do you have access to the water heater for your unit?) and H20HT (Has anyone ever checked the temperature of your hot water?). This item is part of the Group 2 Topical modules; use SP2WEIGHT to create weighted estimates.",
"WELLTYPE","4","Healthy Homes","13","Water Quality","4","2015 National, 2015 Metro","PUF","Type of well","HOUSEHOLD","Character","JWELLTYPE","Coming soon","1: Drilled||2: Dug||M or -9: Not reported||N or -6: Not applicable","Is the well drilled or dug?","WELLQ","None","INTSTATUS = '1' and WATSOURCE = '2' and SPLITSAMP = '2'","This item is part of the Group 2 Topical modules; use SP2WEIGHT to create weighted estimates.",
"WELLUSERS","5","Healthy Homes","13","Water Quality","4","2015 National, 2015 Metro","PUF","Number of units served by this household's private well","HOUSEHOLD","Character","JWELLUSERS","Coming soon","1: One||2: 2 to 5||3: 6 to 9||4: 10 to 14||5: 15 or more||M or -9: Not reported||N or -6: Not applicable","See User Notes","WELDUS1","None","INTSTATUS = '1' and WATSOURCE = '2' and SPLITSAMP = '2'","WELLUSERS is determined using WELDUS1 (Does that well provide water to 15 or more homes?) and WELDUS2 (How many homes does the well serve?). This item is part of the Group 2 Topical modules; use SP2WEIGHT to create weighted estimates.",
"FSAFFORD","1","Food Security","14","Food Security","1","2019 National, 2019 Metro, 2015 National, 2015 Metro","PUF","Adults in the household couldn't afford to eat balanced meals, in the last 30 days","HOUSEHOLD","Character","JFSAFFORD","Coming soon","1: Often true||2: Sometimes true||3: Never true||M or -9: Not reported||N or -6: Not applicable","I couldn't afford to eat balanced meals","FSAFFORD","None","INTSTATUS = '1' and SPLITSAMP = '1'","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.",
"FSEATLESS","2","Food Security","14","Food Security","1","2019 National, 2019 Metro, 2015 National, 2015 Metro","PUF","Flag indicating adults in the household ate less than they felt they should because there wasn't enough money for food, in the last 30 days","HOUSEHOLD","Character","JFSEATLESS","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","In the last 30 days, did you ever eat less than you felt you should because there wasn't enough money for food?","FSEATLESS","None","INTSTATUS = '1' and SPLITSAMP = '1' and (FSWORRY in ('1' '2') or FSLAST in ('1' '2') or FSAFFORD in ('1' '2') )","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.",
"FSHUNGRY","3","Food Security","14","Food Security","1","2019 National, 2019 Metro, 2015 National, 2015 Metro","PUF","Flag indicating adults in the household were hungry due to not having money for food, in the last 30 days","HOUSEHOLD","Character","JFSHUNGRY","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","In the last 30 days, were you ever hungry but didn't eat because there wasn't enough money for food?","FSHUNGRY","None","INTSTATUS = '1' and SPLITSAMP = '1' and (FSWORRY in ('1' '2') or FSLAST in ('1' '2') or FSAFFORD in ('1' '2') )","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.",
"FSLAST","4","Food Security","14","Food Security","1","2019 National, 2019 Metro, 2015 National, 2015 Metro","PUF","Food didn't last and the household couldn't afford to buy more, in the last 30 days","HOUSEHOLD","Character","JFSLAST","Coming soon","1: Often true||2: Sometimes true||3: Never true||M or -9: Not reported||N or -6: Not applicable","The food I bought just didn't last, and I didn't have money to get more.","FSLAST","None","INTSTATUS = '1' and SPLITSAMP = '1'","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.",
"FSLOSTWGT","5","Food Security","14","Food Security","1","2019 National, 2019 Metro, 2015 National, 2015 Metro","PUF","Flag indicating adults in the household lost weight due to not having money for food, in the last 30 days","HOUSEHOLD","Character","JFSLOSTWGT","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","In the last 30 days, did you lose weight because there wasn't enough money for food?","FSLOSTWGT","None","INTSTATUS = '1' and SPLITSAMP = '1' and (FSWORRY in ('1' '2') or FSLAST in ('1' '2') or FSAFFORD in ('1' '2') )","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.",
"FSMEALDAYS","6","Food Security","14","Food Security","1","2019 National, 2019 Metro, 2015 National, 2015 Metro","PUF","Number of days adults in the household cut or skipped meals, in the last 30 days","HOUSEHOLD","Numeric","JFSMEALDAYS","Coming soon","0 : 30: 0 to 30 days||M or -9: Not reported||N or -6: Not applicable","In the last 30 days, how many days did you cut or skip meals?","FSMEALDAYS","None","INTSTATUS = '1' and SPLITSAMP = '1' and (FSWORRY in ('1' '2') or FSLAST in ('1' '2') or FSAFFORD in ('1' '2')) and FSSKIPMEAL = '1'","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.",
"FSNODAYS","7","Food Security","14","Food Security","1","2019 National, 2019 Metro, 2015 National, 2015 Metro","PUF","Number of days adults in the household did not eat, in the last 30 days","HOUSEHOLD","Numeric","JFSNODAYS","Coming soon","0 : 30: 0 to 30 days||M or -9: Not reported||N or -6: Not applicable","In the last 30 days, how many days did you not eat for a whole day because there wasn't enough money for food?","FSSKIPDAYS","None","INTSTATUS = '1' and SPLITSAMP = '1' and (FSWORRY in ('1' '2') or FSLAST in ('1' '2') or FSAFFORD in ('1' '2')) and (FSSKIPMEAL = '1' or FSEATLESS = '1' or FSHUNGRY = '1' or FSLOSTWGT = '1') and FSNOFOOD = '1'","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.",
"FSNOFOOD","8","Food Security","14","Food Security","1","2019 National, 2019 Metro, 2015 National, 2015 Metro","PUF","Flag indicating adults in the household didn't eat for a whole day, in the last 30 days","HOUSEHOLD","Character","JFSNOFOOD","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","In the last 30 days, did you ever not eat for a whole day because there wasn't enough money for food?","FSSKIP24","None","INTSTATUS = '1' and SPLITSAMP = '1' and (FSWORRY in ('1' '2') or FSLAST in ('1' '2') or FSAFFORD in ('1' '2')) and (FSSKIPMEAL = '1' or FSEATLESS = '1' or FSHUNGRY = '1' or FSLOSTWGT = '1')","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.",
"FSSKIPMEAL","9","Food Security","14","Food Security","1","2019 National, 2019 Metro, 2015 National, 2015 Metro","PUF","Flag indicating adults in the household cut or skipped meals, in the last 30 days","HOUSEHOLD","Character","JFSSKIPMEAL","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","In the last 30 days, did you ever cut the size of your meals or skip meals because there wasn't enough money for food?","FSSKIPMEAL","None","INTSTATUS = '1' and SPLITSAMP = '1' and (FSWORRY in ('1' '2') or FSLAST in ('1' '2') or FSAFFORD in ('1' '2'))","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.",
"FSSTATUS","10","Food Security","14","Food Security","1","2019 National, 2019 Metro, 2015 National, 2015 Metro","PUF","Rating of overall food security of the household","HOUSEHOLD","Character","JFSSTATUS","Coming soon","1: High food security among adults||2: Marginal food security among adults||3: Low food security among adults||4: Very low food security among adults||5: Unknown food security among adults||N or -6: Not applicable","NA","NA","None","INTSTATUS = '1' and SPLITSAMP = '1'","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.",
"FSWORRY","11","Food Security","14","Food Security","1","2019 National, 2019 Metro, 2015 National, 2015 Metro","PUF","Adults in the household worried food would run out before there was money to buy more, in the last 30 days","HOUSEHOLD","Character","JFSWORRY","Coming soon","1: Often true||2: Sometimes true||3: Never true||M or -9: Not reported||N or -6: Not applicable","I worried whether my food would run out before I got money to buy more. Was that often true, sometimes true, or never true in the last 30 days?","FSWORRY","None","INTSTATUS = '1' and SPLITSAMP = '1'","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.",
"HCAMT","1","Housing Counseling","15","Housing Counseling","1","2015 National, 2015 Metro","PUF","Amount of housing counseling fee","HOUSEHOLD","Numeric","JHCAMT","Coming soon","1 : 9996: $1 to $9,996||9997: $9,997 or more||M or -9: Not reported||N or -6: Not applicable","How much did you pay for housing counseling?","HCAMT","Rounded","INTSTATUS = '1' and SPLITSAMP = '1' and HCAVICE = 1 and HCPAY = '1'","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.",
"HCAVICE","2","Housing Counseling","15","Housing Counseling","1","2015 National, 2015 Metro","PUF","Flag indicating the respondent received advice or counseling from a professional housing counselor in the last two years","HOUSEHOLD","Character","JHCAVICE","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","In the last two years, have you received advice or counseling from a professional housing counselor?","HCAVICE","None","INTSTATUS = '1' and SPLITSAMP = '1'","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.",
"HCHELP","3","Housing Counseling","15","Housing Counseling","1","2015 National, 2015 Metro","PUF","Flag indicating the housing counseling was helpful in answering questions or resolving housing issue","HOUSEHOLD","Character","JHCHELP","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Was the housing counseling you received helpful in answering your questions or resolving your housing issue?","HCHELP","None","INTSTATUS = '1' and SPLITSAMP = '1' and HCAVICE = 1","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.",
"HCOORR","4","Housing Counseling","15","Housing Counseling","1","2015 National, 2015 Metro","PUF","Flag indicating type of housing counseling advice","HOUSEHOLD","Character","JHCOORR","Coming soon","1: Owning||2: Renting||3: Both||M or -9: Not reported||N or -6: Not applicable","Was that advice related to homeownership, renting, or both?","HCOORR","None","INTSTATUS = '1' and SPLITSAMP = '1' and HCAVICE = 1","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.",
"HCOWNBUY","5","Housing Counseling","15","Housing Counseling","1","2015 National, 2015 Metro","PUF","Flag indicating housing counseling advice was to help with a decision to purchase a new home","HOUSEHOLD","Character","JHCOWNBUY","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Was that advice ___ (Mark all that apply)","HCOWN","None","INTSTATUS = '1' and SPLITSAMP = '1' and HCAVICE = 1 and HCOORR in ('1' '2' '3')","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.",
"HCOWNCON","6","Housing Counseling","15","Housing Counseling","1","2015 National, 2015 Metro","PUF","Flag indicating housing counseling advice was to resolve a conflict with a homeowners association, neighbor or former owner","HOUSEHOLD","Character","JHCOWNCON","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Was that advice ___ (Mark all that apply)","HCOWN","None","INTSTATUS = '1' and SPLITSAMP = '1' and HCAVICE = 1 and HCOORR in ('1' '2' '3')","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.",
"HCOWNFORE","7","Housing Counseling","15","Housing Counseling","1","2015 National, 2015 Metro","PUF","Flag indicating housing counseling advice was to help avoid foreclosure","HOUSEHOLD","Character","JHCOWNFORE","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Was that advice ___ (Mark all that apply)","HCOWN","None","INTSTATUS = '1' and SPLITSAMP = '1' and HCAVICE = 1 and HCOORR in ('1' '2' '3')","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.",
"HCOWNOTH","8","Housing Counseling","15","Housing Counseling","1","2015 National, 2015 Metro","PUF","Flag indicating housing counseling advice was for some other reason related to owning","HOUSEHOLD","Character","JHCOWNOTH","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Was that advice ___ (Mark all that apply)","HCOWN","None","INTSTATUS = '1' and SPLITSAMP = '1' and HCAVICE = 1 and HCOORR in ('1' '2' '3')","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.",
"HCOWNREFI","9","Housing Counseling","15","Housing Counseling","1","2015 National, 2015 Metro","PUF","Flag indicating housing counseling advice was to help refinance or to obtain a reverse mortgage","HOUSEHOLD","Character","JHCOWNREFI","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Was that advice ___ (Mark all that apply)","HCOWN","None","INTSTATUS = '1' and SPLITSAMP = '1' and HCAVICE = 1 and HCOORR in ('1' '2' '3')","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.",
"HCPAY","10","Housing Counseling","15","Housing Counseling","1","2015 National, 2015 Metro","PUF","Flag indicating respondent paid a fee for the housing counseling","HOUSEHOLD","Character","JHCPAY","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Did you pay a fee for housing counseling?","HCPAY","None","INTSTATUS = '1' and SPLITSAMP = '1' and HCAVICE = 1","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.",
"HCRENTEVIC","11","Housing Counseling","15","Housing Counseling","1","2015 National, 2015 Metro","PUF","Flag indicating housing counseling advice was to help avoid eviction","HOUSEHOLD","Character","JHCRENTEVIC","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Was that advice ___ (Mark all that apply)","HCRENT","None","INTSTATUS = '1' and SPLITSAMP = '1' and HCAVICE = 1 and HCOORR in ('1' '2' '3')","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.",
"HCRENTFAIR","12","Housing Counseling","15","Housing Counseling","1","2015 National, 2015 Metro","PUF","Flag indicating housing counseling advice was to understand the rights with respect to Fair Housing","HOUSEHOLD","Character","JHCRENTFAIR","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Was that advice ___ (Mark all that apply)","HCRENT","None","INTSTATUS = '1' and SPLITSAMP = '1' and HCAVICE = 1 and HCOORR in ('1' '2' '3')","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.",
"HCRENTLLRD","13","Housing Counseling","15","Housing Counseling","1","2015 National, 2015 Metro","PUF","Flag indicating housing counseling advice was to mediate a conflict with the landlord","HOUSEHOLD","Character","JHCRENTLLRD","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Was that advice ___ (Mark all that apply)","HCRENT","None","INTSTATUS = '1' and SPLITSAMP = '1' and HCAVICE = 1 and HCOORR in ('1' '2' '3')","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.",
"HCRENTNGH","14","Housing Counseling","15","Housing Counseling","1","2015 National, 2015 Metro","PUF","Flag indicating housing counseling advice was to help mediate a conflict with a neighbor or roommate","HOUSEHOLD","Character","JHCRENTNGH","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Was that advice ___ (Mark all that apply)","HCRENT","None","INTSTATUS = '1' and SPLITSAMP = '1' and HCAVICE = 1 and HCOORR in ('1' '2' '3')","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.",
"HCRENTOTH","15","Housing Counseling","15","Housing Counseling","1","2015 National, 2015 Metro","PUF","Flag indicating housing counseling advice was for some other reason related to renting","HOUSEHOLD","Character","JHCRENTOTH","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Was that advice ___ (Mark all that apply)","HCRENT","None","INTSTATUS = '1' and SPLITSAMP = '1' and HCAVICE = 1 and HCOORR in ('1' '2' '3')","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.",
"ARTACCESS","1","Art","16","Art","1","2015 National, 2015 Metro","PUF","Flag indicating access to arts and cultural events played role in neighborhood choice","HOUSEHOLD","Character","JARTACCESS","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Did convenient access to arts and cultural events play a role in choosing your current neighborhood?","ARTACCESS","None","INTSTATUS = '1' and SPLITSAMP = '1'","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.",
"ARTATTRACT","2","Art","16","Art","1","2015 National, 2015 Metro","PUF","Agree or disagree: arts and cultural events attract tourists","HOUSEHOLD","Character","JARTATTRACT","Coming soon","1: Agree||2: Disagree||M or -9: Not reported||N or -6: Not applicable","Agree or disagree: In your neighborhood, arts and cultural events attract tourists?","ARTATTRACTS","None","INTSTATUS = '1' and SPLITSAMP = '1' and ARTNEARBY <> '3'","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.",
"ARTAWARE","3","Art","16","Art","1","2015 National, 2015 Metro","PUF","Agree or disagree: arts and cultural events encourage understanding and awareness of other people or cultures","HOUSEHOLD","Character","JARTAWARE","Coming soon","1: Agree||2: Disagree||M or -9: Not reported||N or -6: Not applicable","Agree or disagree: In your neighborhood, arts and cultural events encourage greater understanding and awareness of other people or cultures?","ARTAWARE","None","INTSTATUS = '1' and SPLITSAMP = '1' and ARTNEARBY <> '3'","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.",
"ARTECON","4","Art","16","Art","1","2015 National, 2015 Metro","PUF","Agree or disagree: arts and cultural events improve local economy","HOUSEHOLD","Character","JARTECON","Coming soon","1: Agree||2: Disagree||M or -9: Not reported||N or -6: Not applicable","Agree or disagree: In your neighborhood, arts and cultural events improve the local economy as a whole?","ARTECON","None","INTSTATUS = '1' and SPLITSAMP = '1' and ARTNEARBY <> '3'","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.",
"ARTIDENT","5","Art","16","Art","1","2015 National, 2015 Metro","PUF","Agree or disagree: arts and cultural events improve image and identity of neighborhood","HOUSEHOLD","Character","JARTIDENT","Coming soon","1: Agree||2: Disagree||M or -9: Not reported||N or -6: Not applicable","Agree or disagree: In your neighborhood, arts and cultural events improve the image and identity of your neighborhood?","ARTIDENT","None","INTSTATUS = '1' and SPLITSAMP = '1' and ARTNEARBY <> '3'","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.",
"ARTIMPROVE","6","Art","16","Art","1","2015 National, 2015 Metro","PUF","Agree or disagree: arts and cultural events improve neighborhood quality","HOUSEHOLD","Character","JARTIMPROVE","Coming soon","1: Agree||2: Disagree||M or -9: Not reported||N or -6: Not applicable","Do you agree or disagree that the presence of arts and cultural events improves the overall quality of your neighborhood?","ARTIMPROVE","None","INTSTATUS = '1' and SPLITSAMP = '1' and ARTNEARBY <> '3'","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.",
"ARTJOBS","7","Art","16","Art","1","2015 National, 2015 Metro","PUF","Agree or disagree: arts and cultural events create employment opportunities","HOUSEHOLD","Character","JARTJOBS","Coming soon","1: Agree||2: Disagree||M or -9: Not reported||N or -6: Not applicable","Agree or disagree: In your neighborhood, arts and cultural events create employment opportunities?","ARTJOBS","None","INTSTATUS = '1' and SPLITSAMP = '1' and ARTNEARBY <> '3'","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.",
"ARTNEARBY","8","Art","16","Art","1","2015 National, 2015 Metro","PUF","Rating of the importance of living near arts and cultural events","HOUSEHOLD","Character","JARTNEARBY","Coming soon","1: Very important||2: Important||3: Not important||M or -9: Not reported||N or -6: Not applicable","How important for you is living conveniently near arts and cultural events?","ARTNEARBY","None","INTSTATUS = '1' and SPLITSAMP = '1'","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.",
"ARTSATIS","9","Art","16","Art","1","2015 National, 2015 Metro","PUF","Rating of satisfaction with arts and cultural events in neighborhood","HOUSEHOLD","Character","JARTSATIS","Coming soon","1: Very satisfied||2: Satisfied||3: Not satisfied||M or -9: Not reported||N or -6: Not applicable","In the place where you currently live, how satisfied are you with access to arts and cultural events?","ARTSATIS","None","INTSTATUS = '1' and SPLITSAMP = '1' and ARTNEARBY <> '3'","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.",
"ARTSOC","10","Art","16","Art","1","2015 National, 2015 Metro","PUF","Agree or disagree: arts and cultural events provide opportunities for greater social interaction","HOUSEHOLD","Character","JARTSOC","Coming soon","1: Agree||2: Disagree||M or -9: Not reported||N or -6: Not applicable","Agree or disagree: In your neighborhood, arts and cultural events provide opportunities for greater social interaction?","ARTSOC","None","INTSTATUS = '1' and SPLITSAMP = '1' and ARTNEARBY <> '3'","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.",
"DBFORCWHR","1","Delinquency","17","Owners","1","2021 National, 2021 Metro, 2017 National, 2017 Metro","PUF","Where household would go in event of foreclosure","HOUSEHOLD","Character","JDBFORCWHR","Coming soon","1: New home||2: Friends||3: Family||4: Different places||5: Shelter||M or -9: Not reported||N or -6: Not applicable","If you and your household members did have to leave, where do you think you would go?","DBFORCWHR","None","INTSTATUS = '1' and TENURE = '1' and MORTSTAT in ('2' '3' '4' '5')","The 2013 PUF also has this variable.",
"DBLVEFORC","3","Delinquency","17","Owners","1","2021 National, 2021 Metro, 2017 National, 2017 Metro","PUF","Likelihood of leaving home due to foreclosure","HOUSEHOLD","Character","JDBLVEFORC","Coming soon","1: Very likely||2: Somewhat likely||3: Not very likely||M or -9: Not reported||N or -6: Not applicable","How likely is it that you will have to leave your home within the next two months because of foreclosure?","DBLVEFORC","None","INTSTATUS = '1' and TENURE = '1' and MORTSTAT in ('2' '3' '4' '5')","The 2013 PUF also has this variable.",
"DBMISSMORT","4","Delinquency","17","Owners","1","2021 National, 2021 Metro, 2017 National, 2017 Metro","PUF","Inability to pay mortgage","HOUSEHOLD","Character","JDBMISSMORT","Coming soon","1: Received a notice one of the last three months||2: Received a notice two of the last three months||3: Received a notice three of the last three months||4: Received a notice, time period not reported||5: No notice||M or -9: Not reported||N or -6: Not applicable","See User Notes","See User Notes","None","INTSTATUS = '1' and TENURE = '1' and MORTSTAT in ('2' '3' '4' '5')","DBMISSMORT is determined using DBUNPDLN (Earlier you mentioned that you own this home. In the last 3 months, has there been a time when you received a notice of missed payment or late payment fee from the mortgage or home equity lender?) and DBMORTPAY (For how many of the last 3 months?). The 2013 PUF has this variable, but with different response codes.",
"DBEVICLK","1","Delinquency","17","Renters","2","2021 National, 2021 Metro, 2017 National, 2017 Metro","PUF","Likelihood of leaving home because of eviction","HOUSEHOLD","Character","JDBEVICLK","Coming soon","1: Very likely||2: Somewhat likely||3: Not very likely||M or -9: Not reported||N or -6: Not applicable","How likely it is that you will have to leave this home within the next two months because of eviction?","DBEVICLK","None","INTSTATUS = '1' and TENURE in ('2' '3')","The 2013 PUF also has this variable.",
"DBEVICNOTE","2","Delinquency","17","Renters","2","2021 National, 2021 Metro, 2017 National, 2017 Metro","PUF","Receipt of eviction notice","HOUSEHOLD","Character","JDBEVICNOTE","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Have you received an eviction notice from a court?","DBEVICNOTE","None","INTSTATUS = '1' and TENURE in ('2' '3') and DBEVICTHT = '1'","The 2013 PUF also has this variable.",
"DBEVICTHT","3","Delinquency","17","Renters","2","2021 National, 2021 Metro, 2017 National, 2017 Metro","PUF","Threat of eviction","HOUSEHOLD","Character","JDBEVICTHT","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Have you been threatened with eviction in the last 3 months?","DBEVICTHT","None","INTSTATUS = '1' and TENURE in ('2' '3')","The 2013 PUF also has this variable.",
"DBEVICWHERE","4","Delinquency","17","Renters","2","2021 National, 2021 Metro, 2017 National, 2017 Metro","PUF","Where household would go in event of eviction","HOUSEHOLD","Character","JDBEVICWHERE","Coming soon","1: New home||2: Friends||3: Family||4: Different places||5: Shelter||M or -9: Not reported||N or -6: Not applicable","If you and your household did have to leave this home, where do you think you would go?","DBEVICWHERE","None","INTSTATUS = '1' and TENURE in ('2' '3')","The 2013 PUF also has this variable.",
"DBMISSRENT","5","Delinquency","17","Renters","2","2021 National, 2021 Metro, 2017 National, 2017 Metro","PUF","Inability to pay rent","HOUSEHOLD","Character","JDBMISSRENT","Coming soon","1: Unable to pay one of the last three months||2: Unable to pay two of the last three months||3: Unable to pay three of the last three months||4: Unable to pay, time period not reported||5: Has not been unable to pay rent||M or -9: Not reported||N or -6: Not applicable","See User Notes","See User Notes","None","INTSTATUS = '1' and TENURE = '2'","DBMISSRENT is determined using DBUNPDRENT (Earlier you mentioned that you rent this home. In the last 3 months, has there been a time when you were unable to pay all or part of the rent?) and DBRENTPAY (For how many of the last 3 months?). The 2013 PUF has this variable, but with different response codes.",
"DBUTBILL","1","Delinquency","17","Utilities","3","2021 National, 2021 Metro, 2017 National, 2017 Metro","PUF","Received utility shut-off notice","HOUSEHOLD","Character","JDBUTBILL","Coming soon","1: Received notice, utilities shut off||2: Received notice, utilities not shut off||3: Received notice, shut-off not reported||4: No notice||M or -9: Not reported||N or -6: Not applicable","See User Notes","See User Notes","None","INTSTATUS = '1'","DBUTBILL is determined using DBILLPAY (Now I have some questions about your utility bills. By utilities, I mean electricity, gas, fuel oil, or other fuels, water, sewage, and trash collection. In the last 3 months, have you received a notice that any of your utilities would be shut off due to lack of payment?) and DBUTSHUTOFF (In the past 3 months, have you had any of your utilities shut off due to lack of payment?). The 2013 PUF has this variable, but with different response codes.",
"DPGENERT","1","Disaster Planning","19","Supplies","1","2023 National, 2023 Metro","PUF","Flag indicating generator","HOUSEHOLD","Character","JDPGENERT","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Do you have a generator to provide electricity in case there is a power outage?","DPGENERT","None","INTSTATUS = '1' and SPLITSAMP = '2' and BLD in ('01' '02' '03' '04' '05' '10')","This item is part of the Group 2 Topical modules; use SP2WEIGHT to create weighted estimates.",
"DPGENERT","1","Disaster Planning","19","Supplies","1","2017 National, 2017 Metro","PUF","Flag indicating generator","HOUSEHOLD","Character","JDPGENERT","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Do you have a generator to provide electricity in case there is a power outage?","GENERT","None","INTSTATUS = '1' and SPLITSAMP = '2' and BLD in ('01' '02' '03' '04' '05' '10')","This item is part of the Group 2 Topical modules; use SP2WEIGHT to create weighted estimates.",
"DPDRFOOD","2","Disaster Planning","19","Supplies","1","2017 National, 2017 Metro","PUF","Flag indicating emergency food","HOUSEHOLD","Character","JDPDRFOOD","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Does household have available non-perishable food for 3 days?","DRFOOD","None","INTSTATUS = '1' and SPLITSAMP = '2'","This item is part of the 2017 Group 2 Topical modules; use SP2WEIGHT to create weighted estimates.",
"DPEMWATER","3","Disaster Planning","19","Supplies","1","2017 National, 2017 Metro","PUF","Flag indicating emergency water","HOUSEHOLD","Character","JDPEMWATER","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Does household have available at least 3 gallons or 24 bottles of water per person?","EMWATER","None","INTSTATUS = '1' and SPLITSAMP = '2'","This item is part of the 2017 Group 2 Topical modules; use SP2WEIGHT to create weighted estimates.",
